SUJETO;ITEM01;ITEM02;ITEM03;ITME04;ITEM05;ITEM06;ITEM07;ITEM08;ITME09;ITEM10;ΙΤΕΜ11;ΙΤΕΜ12;ΙΤΕΜ13;ΙΤΕΜ14;ΙΤΕΜ15;ΙΤΕΜ16;ITEM17;ΙΤΕΜ18;ΙΤΕΜΙ9;ΙΤΕΜ2Ο;DIM1;DIM2;DIM3;DIM4;TOTAL
1;2;3;2;2;2;2;2;2;2;3;2;2;2;3;2;2;3;3;2;2;11;17;7;10;45
2;2;3;2;3;2;2;2;2;2;3;2;2;2;2;2;2;2;2;1;1;12;17;6;6;41
3;2;3;2;2;1;3;2;2;2;3;2;2;2;2;2;2;1;2;2;2;10;18;6;7;41
4;1;3;2;2;2;2;3;3;2;2;2;2;2;2;2;1;1;1;2;1;10;18;5;5;38
5;2;2;2;2;1;2;2;2;2;2;2;1;3;2;2;1;2;1;2;2;9;16;5;7;37
6;2;2;2;1;2;2;3;3;2;2;2;2;2;1;2;2;2;2;2;1;9;18;5;7;39
7;3;1;2;2;1;2;1;2;3;3;2;2;1;2;2;1;1;2;2;2;9;16;5;7;37
8;3;2;2;2;1;2;2;1;2;1;2;2;2;1;2;2;2;1;2;1;10;14;5;6;35
9;2;1;2;2;1;2;1;2;1;2;1;2;2;2;2;1;2;1;1;2;8;13;5;6;32
10;2;2;2;2;1;1;2;2;1;1;2;1;2;3;2;2;2;2;2;1;9;12;7;7;35
11;1;1;2;1;1;2;1;1;2;2;2;2;1;2;2;1;2;2;2;1;6;13;5;7;31
12;1;1;2;2;2;2;1;2;1;2;2;1;2;1;1;2;1;1;1;2;8;13;4;5;30
13;2;2;2;1;2;1;2;1;2;1;2;2;2;2;2;2;2;2;2;2;9;13;6;8;36
14;2;1;2;1;2;2;2;2;2;1;1;1;1;1;1;2;1;1;1;2;8;12;4;5;29
15;1;1;2;2;2;1;1;1;2;1;1;2;2;2;2;1;2;2;2;1;8;11;5;7;31
16;2;2;1;2;1;2;2;2;1;2;1;2;1;1;1;1;1;1;1;2;8;13;3;5;29
17;1;1;2;2;1;1;1;2;1;1;2;1;2;2;2;2;2;2;1;1;7;11;6;6;30
18;2;2;1;1;2;2;1;1;1;1;1;1;2;1;1;1;1;1;2;2;8;10;3;6;27
19;1;1;2;2;1;2;2;1;1;2;1;2;1;2;1;1;2;1;1;2;7;12;4;6;29
20;1;1;1;2;1;2;2;2;1;1;2;1;2;1;1;2;1;2;1;1;6;13;4;5;28
21;2;2;2;1;2;1;1;2;1;2;1;1;1;1;1;1;1;1;1;2;9;10;3;5;27
22;2;1;1;1;2;2;2;1;2;1;1;1;2;1;2;1;2;1;1;1;7;12;4;5;28
23;1;1;2;2;1;1;1;1;2;1;1;2;1;1;1;1;1;1;1;1;7;10;3;4;24
24;2;1;1;2;1;1;2;1;2;1;1;1;1;2;1;2;2;2;1;1;7;10;5;6;28
25;1;1;2;1;2;2;1;2;1;1;2;1;1;1;2;1;1;2;2;1;7;11;4;6;28
26;1;1;1;2;2;1;1;2;1;2;1;2;1;1;1;2;1;2;1;2;7;11;4;6;28
27;2;1;1;2;2;2;2;1;2;1;2;1;1;1;1;1;2;1;2;1;8;12;3;6;29
28;1;2;2;1;2;1;2;1;1;2;1;1;2;1;1;1;1;2;1;2;8;11;3;6;28
29;1;2;1;2;2;1;1;2;1;1;1;2;1;1;1;1;2;1;1;1;8;10;3;5;26
30;1;1;2;1;2;1;1;2;1;1;1;1;1;1;1;1;2;1;1;1;7;9;3;5;24
