SUJETO;ITEM01;ITEM02;ITEM03;ITEM04;ITEM05;ITEM06;ITEM07;ITEM08;ITEM09;ITEM10;ITEM11;ITEM12;ITEM13;ITEM14;ITEM15;ITEM16;ITEM17;ITEM18;ITEM19;ITEM20;DIM1;DIM2;DIM3;DIM4;TOTAL
1;3;3;2;3;2;3;2;2;3;3;3;3;3;3;3;3;3;3;3;3;13;22;9;12;56
2;3;3;3;2;2;3;3;2;3;3;3;3;3;3;3;2;3;3;3;3;13;23;8;12;56
3;3;3;2;3;3;3;3;3;3;3;3;3;3;2;3;3;3;3;3;2;14;24;8;11;57
4;2;3;2;3;3;3;2;2;2;2;3;3;3;3;2;3;2;3;2;2;13;20;8;9;50
5;3;2;3;2;3;2;3;2;2;2;2;3;3;2;3;3;3;3;3;3;13;19;8;12;52
6;3;3;3;2;3;3;3;2;3;2;3;3;2;3;3;2;2;3;2;2;14;21;8;9;52
7;2;3;2;3;2;3;3;2;2;2;3;3;3;3;2;3;3;2;3;2;12;21;8;10;51
8;3;2;2;3;2;3;3;2;2;2;2;3;3;3;3;3;2;3;2;2;12;20;9;9;50
9;3;2;2;2;3;2;2;2;3;2;3;3;3;2;3;3;3;3;3;2;12;20;8;11;51
10;2;2;2;2;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;2;11;23;9;11;54
11;3;2;2;3;3;3;2;2;3;3;3;2;3;2;2;2;2;3;3;3;13;21;6;11;51
12;2;2;3;2;2;3;2;3;2;2;2;2;2;3;3;2;3;3;2;3;11;18;8;11;48
13;3;3;3;2;3;2;3;2;3;2;3;3;2;2;2;3;2;3;2;1;14;20;7;8;49
14;2;3;2;2;2;2;3;2;2;3;2;2;2;2;3;2;3;2;3;2;11;18;7;10;46
15;3;2;2;2;2;2;3;3;3;3;2;3;2;3;3;3;3;3;3;3;11;21;9;12;53
16;3;2;2;3;2;3;3;2;2;2;2;2;2;3;2;3;2;3;2;3;12;18;8;10;48
17;3;2;2;3;2;3;2;2;3;3;2;2;3;3;3;2;2;2;2;2;12;20;8;8;48
18;2;2;2;3;3;3;3;2;2;2;2;3;2;3;3;2;3;3;2;2;12;19;8;10;49
19;2;2;2;3;2;3;2;2;2;2;2;3;2;3;3;3;3;3;3;3;11;18;9;12;50
20;2;2;2;3;2;2;3;3;3;2;2;2;2;3;3;3;3;2;2;2;11;19;9;9;48
21;2;2;2;2;2;3;3;2;2;3;3;2;2;3;3;2;3;3;3;3;10;20;8;12;50
22;2;2;2;3;2;3;3;2;2;2;2;3;2;2;2;3;3;3;2;1;11;19;7;9;46
23;3;2;2;3;2;3;3;3;2;3;2;3;2;2;3;2;3;3;3;2;12;21;7;11;51
24;2;2;2;2;2;3;2;2;3;2;3;2;2;3;3;3;3;2;2;3;10;19;9;10;48
25;3;3;3;3;3;3;2;3;3;2;3;3;3;2;2;3;2;2;2;3;15;22;7;9;53
26;2;3;3;3;3;3;3;2;2;3;2;3;3;2;2;3;2;2;1;2;14;21;7;7;49
27;2;2;2;3;2;2;3;2;2;1;2;2;2;2;2;2;2;2;2;2;11;16;6;8;41
28;2;3;3;2;3;2;2;2;2;2;2;1;2;2;3;3;2;2;2;2;13;15;8;8;44
29;2;2;2;1;2;2;2;2;2;2;1;2;2;1;2;2;2;2;1;2;9;15;5;7;36
30;1;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;1;2;2;2;9;14;6;7;36
